ID,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
32,20140624,687500,4.0,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117
33,20141110,535000,3.0,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117
34,20141203,322500,4.0,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058
35,20140613,696000,3.0,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115
36,20140528,550000,4.0,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,98052
37,20141230,640000,4.0,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107
38,20150213,240000,4.0,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,98001
39,20140620,605000,4.0,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,98056
40,20140715,625000,4.0,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,98074
41,20140811,775000,4.0,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,98166
42,20140707,861990,5.0,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,98053
43,20141028,685000,3.0,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119
44,20140729,309000,3.0,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058
45,20140718,488000,3.0,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,98019
46,20150325,210490,3.0,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023
47,20140716,785000,4.0,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,98007
48,20150428,450000,3.0,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115
49,20150311,1350000,3.0,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,98070
50,20140916,228000,3.0,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148
51,20150217,345000,5.0,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056
52,20141231,600000,3.0,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117
53,20150205,585000,2.0,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117
54,20150303,920000,5.0,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105
55,20140512,885000,4.0,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105
56,20140819,292500,4.0,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042
57,20150407,301000,3.0,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042
58,20140827,951000,5.0,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,98008
59,20150223,430000,4.0,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059
60,20141210,650000,3.0,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,98166
61,20140828,289000,3.0,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148
62,20141021,505000,3.0,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166
63,20141207,549000,3.0,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115
64,20140603,425000,3.0,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122
65,20141120,317625,3.0,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144
66,20140909,975000,4.0,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,98004
67,20141009,287000,4.0,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001
68,20140825,204000,3.0,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042
69,20140612,1325000,5.0,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,98004
70,20140912,1040000,5.0,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,98005
71,20150105,325000,3.0,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034
72,20140610,571000,4.0,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125
73,20140710,360000,4.0,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038
74,20150316,349000,3.0,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042
75,20141105,832500,4.0,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,98075
76,20141013,380000,4.0,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008
77,20150420,480000,3.0,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116
78,20140609,410000,3.0,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133
79,20150323,720000,4.0,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,98010
80,20141202,390000,3.0,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038
81,20141222,360000,4.0,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038
82,20141028,355000,2.0,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118
83,20150128,356000,3.0,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059
84,20140602,315000,3.0,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125
85,20141114,940000,3.0,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119
86,20141103,305000,5.0,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092
87,20140618,461000,3.0,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,98056
88,20140519,215000,2.0,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056
89,20140904,335000,2.0,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136
90,20140522,243500,4.0,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023
91,20150311,1099880,5.0,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,98199
92,20150226,153000,3.0,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023
93,20140725,430000,3.0,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117
94,20141223,700000,3.0,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117
95,20140908,905000,4.0,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,98040
96,20150330,247500,3.0,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032
97,20140912,199000,4.0,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023
98,20140711,314000,3.0,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038
99,20140516,437500,3.0,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045
100,20140611,850830,3.0,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,98102
101,20141027,555000,3.0,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,98117
102,20141212,699950,3.0,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0,98077
103,20141007,1088000,3.0,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,98004
104,20140924,290000,3.0,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,98058
105,20150402,375000,3.0,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058
106,20140523,460000,3.0,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117
107,20140723,188500,2.0,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198
108,20150305,680000,4.0,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0,98077
109,20140827,470000,5.0,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052
110,20140725,597750,4.0,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,98027
111,20150304,570000,3.0,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,98103
112,20140916,272500,3.0,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038
113,20141124,329950,3.0,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108
114,20141028,480000,4.0,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,98001
115,20141121,740500,3.0,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,98117
116,20140626,518500,3.0,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,98103
117,20140623,205425,2.0,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178
118,20150108,171800,4.0,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168
119,20150511,535000,4.0,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,98144
120,20150102,660000,3.0,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,98177
121,20141119,391500,3.0,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034
122,20150406,395000,2.0,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117
123,20141104,445000,4.0,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118
124,20140618,770000,3.0,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,98052
125,20150302,1450000,4.0,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,98004
126,20140717,445000,3.0,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178
127,20140717,260000,4.0,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023
128,20140613,822500,5.0,3.5,2320,4960,2.0,0,0,5,7,1720,600,1926,0,98103
129,20150406,430000,4.0,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,98065
130,20150105,212000,3.0,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092
131,20150428,660500,4.0,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,98027
132,20140612,784000,3.0,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,98052
133,20140512,453246,3.0,2.5,2010,2287,2.0,0,0,3,8,1390,620,2014,0,98029
134,20150126,675000,4.0,3.5,2140,2278,3.0,0,0,3,9,2140,0,2005,0,98107
135,20140813,199000,3.0,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003
136,20140805,220000,4.0,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003
137,20140529,452000,4.0,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1968,0,98028
138,20140707,382500,2.0,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125
139,20140507,519950,3.0,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107
140,20140627,665000,2.0,1.0,1110,3200,1.0,0,0,3,7,1110,0,1925,0,98119
141,20140708,527700,5.0,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006
142,20150508,205000,3.0,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058
143,20150415,420000,3.0,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133
144,20150227,500000,4.0,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006
145,20141203,921500,4.0,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,0,98077
146,20140625,890000,4.0,1.0,2550,4000,2.0,0,0,3,8,2370,180,1905,0,98109
147,20140806,430000,2.0,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,98027
148,20141030,258000,5.0,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0,98032
149,20141104,511000,3.0,1.0,1430,3455,1.0,0,0,3,7,980,450,1947,0,98103
150,20140820,532170,3.0,2.0,1360,3090,2.0,0,0,3,8,1360,0,1990,0,98103
151,20150409,560000,3.0,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,98107
152,20150331,282950,3.0,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,98003
153,20150401,2250000,4.0,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,0,98006
154,20140516,350000,1.0,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,98115
155,20140728,215000,3.0,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058
156,20141120,650000,5.0,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0,98056
157,20140807,320000,4.0,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,98023
158,20141113,247000,3.0,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022
159,20141003,320000,4.0,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,98059
160,20140507,255000,5.0,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146
161,20150309,438000,3.0,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,98034
162,20150304,900000,3.0,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,98075
163,20140620,441000,3.0,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,98034
164,20140812,420000,3.0,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0,98027
165,20141208,370000,3.0,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,98034
166,20150219,269950,2.0,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,98198
167,20150324,807100,4.0,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,98006
168,20140605,653000,3.0,2.5,2680,9750,1.0,0,0,4,8,1610,1070,1979,0,98034
169,20140611,371500,3.0,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,98133
170,20150316,284000,3.0,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0,98166
171,20150102,272000,3.0,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,98023
172,20140502,313000,3.0,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133
173,20150116,917500,4.0,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,0,98033
174,20140929,673000,4.0,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,98006
175,20150210,425000,3.0,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,98122
176,20140709,399950,5.0,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,98144
177,20140530,385000,3.0,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,98122
178,20141117,269950,3.0,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,98022
179,20150107,330000,2.0,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,98177
180,20140725,260000,3.0,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0,98030
181,20150414,470000,4.0,3.0,2380,5125,1.5,0,0,4,7,1680,700,1925,0,98126
182,20140613,589000,4.0,3.0,2440,9600,2.0,0,0,5,7,2440,0,1961,0,98034
183,20140723,163500,2.0,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,98038
184,20140905,835000,4.0,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,98052
185,20141121,1095000,5.0,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0,98033
186,20150415,269000,4.0,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,98023
187,20140505,560000,3.0,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,98074
188,20150418,615000,4.0,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,98103
189,20141205,585188,3.0,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0,98052
190,20140818,305000,3.0,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,0,98034
191,20141105,166950,3.0,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0,98058
192,20140912,799000,3.0,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,98040
193,20140625,400000,3.0,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,98133
194,20141201,230000,3.0,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0,98155
195,20140515,256883,3.0,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0,98023
196,20141111,423000,4.0,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108
197,20140723,465000,3.0,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,0,98126
198,20150113,440000,3.0,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,0,98024
199,20141014,385000,3.0,1.75,1350,155073,1.0,0,0,4,7,1350,0,1969,0,98038
200,20150311,210000,3.0,1.0,860,11725,1.0,0,0,4,6,860,0,1943,0,98056
201,20141112,297000,3.0,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0,98042
202,20140716,470000,3.0,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,98107
203,20140804,226500,3.0,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023
204,20150303,274250,3.0,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0,98059
205,20140804,840000,4.0,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,0,98040
206,20140919,677900,3.0,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0,98052
207,20150205,425000,3.0,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,0,98116
208,20141123,180250,2.0,0.75,900,9600,1.0,0,0,3,6,900,0,1941,0,98166
209,20140717,464000,6.0,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,1994,98133
210,20150422,320000,4.0,2.25,1550,7579,2.0,0,0,3,8,1550,0,1993,0,98038
211,20140717,625504,3.0,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,0,98105
212,20140515,592500,4.0,2.5,2240,12032,1.0,0,0,3,9,2240,0,1983,0,98074
213,20150114,465000,3.0,2.5,2714,17936,2.0,0,0,3,9,2714,0,2005,0,98001
214,20140527,477000,4.0,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,0,98118
215,20150115,280000,2.0,1.0,850,16400,1.0,0,0,3,6,850,0,1923,0,98168
216,20150221,1505000,5.0,3.0,3300,33474,1.0,0,3,3,9,1870,1430,1957,1991,98040
217,20140703,445838,3.0,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,0,98146
218,20140828,1072000,2.0,2.25,3900,14864,1.0,0,3,3,8,1950,1950,1947,0,98144
219,20141023,467000,2.0,1.5,1320,10800,1.0,0,0,4,8,1320,0,1947,0,98177
220,20140822,686000,4.0,2.5,2760,6440,2.0,0,0,3,10,2760,0,1999,0,98075
221,20140605,279950,3.0,2.0,1750,9750,1.0,0,0,3,7,1350,400,1961,0,98198
222,20140904,527000,4.0,2.25,2330,19436,2.0,0,0,3,8,2330,0,1987,0,98011
223,20140918,325000,3.0,2.25,2220,16020,1.0,0,0,4,8,1780,440,1966,0,98030
224,20140903,328000,3.0,2.25,2020,8379,2.0,0,0,3,7,2020,0,1994,0,98038
225,20140604,390000,3.0,2.25,1250,7500,1.0,0,0,5,7,1250,0,1942,0,98146
226,20150309,479950,2.0,2.0,1510,6516,1.0,0,0,3,8,1510,0,2005,0,98053
227,20140529,264950,4.0,2.25,1720,9753,1.0,0,0,4,7,1120,600,1978,0,98023
228,20150115,235000,3.0,1.0,1430,15246,1.0,0,0,4,7,980,450,1961,0,98031
229,20150303,516500,3.0,2.5,1480,4729,2.0,0,0,3,7,1480,0,2004,0,98053
230,20150413,655000,2.0,1.75,1450,15798,2.0,1,4,3,7,1230,220,1915,1978,98166
231,20140616,500000,4.0,2.75,2280,15347,1.0,0,0,5,7,2280,0,1960,0,98059
232,20141121,315000,6.0,2.75,2940,7350,1.0,0,0,3,8,1780,1160,1978,0,98023
233,20141120,213000,2.0,1.0,1000,10200,1.0,0,0,3,6,1000,0,1961,0,98024
234,20140902,475000,3.0,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,98108
235,20140610,1025000,5.0,4.0,3760,28040,2.0,0,0,3,10,3760,0,1983,0,98033
236,20150409,416000,3.0,2.0,2220,94300,1.0,0,0,5,7,1640,580,1976,0,98010
237,20150320,410000,4.0,1.0,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,98122
238,20140701,800000,3.0,3.5,3830,221284,2.0,0,0,3,10,3530,300,1993,0,98077
239,20140529,472000,6.0,2.5,4410,14034,1.0,0,2,4,9,2350,2060,1965,0,98003
240,20141208,225000,3.0,1.75,1430,8505,1.0,0,0,4,7,1430,0,1968,0,98003
241,20141001,210000,2.0,1.0,830,6000,1.0,0,0,3,6,830,0,1940,0,98126
242,20150127,455000,2.0,1.0,1430,5000,1.5,0,0,2,7,1430,0,1925,0,98115
243,20150427,225000,3.0,1.0,1300,8316,1.0,0,0,4,6,1300,0,1954,0,98002
244,20140826,480000,2.0,1.0,1030,3060,1.0,0,2,4,7,790,240,1918,0,98103
245,20150212,363000,3.0,2.5,2740,11872,2.0,0,0,3,9,2740,0,1990,0,98023
246,20140929,2400000,4.0,2.5,3650,8354,1.0,1,4,3,9,1830,1820,2000,0,98074
247,20150226,181000,2.0,1.5,720,5120,1.0,0,0,3,6,720,0,1954,0,98106
248,20150314,250000,4.0,2.0,2010,7312,1.0,0,0,4,7,2010,0,1976,0,98002
249,20150422,481000,3.0,1.75,1560,3000,1.0,0,0,4,6,770,790,1918,0,98103
250,20140923,260000,3.0,2.0,1810,7209,1.0,0,0,4,7,1240,570,1978,0,98032
251,20140513,455000,4.0,2.5,3360,7685,2.0,0,0,3,9,3360,0,2001,0,98058
252,20150401,415000,3.0,2.25,1510,36224,2.0,0,0,3,8,1510,0,1991,0,98045
253,20150421,349500,3.0,1.0,1400,3538,1.0,0,0,3,7,800,600,1953,0,98118
254,20140929,245000,3.0,2.5,1730,7442,2.0,0,0,3,7,1730,0,1987,0,98030
255,20140519,592500,2.0,2.0,1420,9191,1.5,0,2,5,7,1420,0,1928,0,98115
256,20141020,385000,4.0,1.75,2360,7620,1.0,0,0,4,7,1180,1180,1955,0,98106
257,20150211,315000,3.0,1.75,1580,11455,1.0,0,0,4,7,1200,380,1974,0,98059
258,20141124,255000,3.0,1.0,1230,10170,1.0,0,0,3,7,1230,0,1979,0,98045
259,20140829,693000,4.0,2.5,2460,4425,2.0,0,0,3,8,2460,0,2006,0,98052
260,20141202,780000,3.0,1.0,1660,4400,1.5,0,0,3,8,1460,200,1911,0,98112
261,20141024,237000,3.0,1.75,1270,8470,1.0,0,0,4,7,1270,0,1960,0,98198
262,20141216,525000,3.0,2.25,2100,40510,2.0,0,0,3,10,1320,780,1979,0,98074
263,20150428,425000,2.0,1.0,770,5040,1.0,0,0,3,5,770,0,1930,0,98144
264,20141027,369900,1.0,0.75,760,10079,1.0,1,4,5,5,760,0,1936,0,98070
265,20140519,290000,4.0,2.5,1700,7280,2.0,0,0,4,7,1700,0,1988,0,98031
266,20140929,285000,3.0,1.0,1120,10701,1.0,0,0,3,7,1120,0,1954,0,98106
267,20140814,415000,2.0,1.0,1070,4500,1.0,0,0,3,7,1070,0,1937,0,98115
268,20150409,272500,3.0,2.5,2070,9900,1.0,0,0,3,8,1420,650,1979,0,98023
269,20150504,2900000,4.0,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,98004
270,20141007,1365000,4.0,4.75,5310,57346,2.0,0,0,4,11,5310,0,1989,0,98077
271,20150501,436000,2.0,1.0,1040,7538,1.0,0,0,4,7,1040,0,1939,0,98133
272,20141017,210000,3.0,1.0,1700,11390,1.0,0,0,4,7,1700,0,1967,0,98003
273,20140925,236000,3.0,1.0,1300,5898,1.0,0,0,3,7,1300,0,1961,0,98178
274,20141124,331000,3.0,1.75,1080,1306,1.0,0,0,3,7,580,500,1954,2003,98199
275,20150320,365000,3.0,2.5,2653,4510,2.0,0,0,3,8,2653,0,2006,0,98031
276,20150127,450000,3.0,2.0,2290,16258,1.0,0,0,5,8,2290,0,1960,0,98058
277,20141113,770000,4.0,2.75,3820,26300,2.0,0,0,3,9,2850,970,2014,0,98028
278,20150505,455000,4.0,2.5,2210,49375,1.0,0,0,3,8,2210,0,1997,0,98038
279,20150505,405000,3.0,1.75,2390,6000,1.0,0,0,3,6,1240,1150,1908,0,98118
280,20140703,304900,4.0,1.75,2600,11325,1.0,0,0,4,7,1610,990,1969,0,98031
281,20150227,170000,2.0,1.0,860,5265,1.0,0,0,3,6,860,0,1931,0,98178
282,20150513,2050000,5.0,3.0,3830,8480,2.0,0,1,5,9,2630,1200,1905,1994,98122
283,20140630,780000,4.0,2.5,3500,7048,2.0,0,0,3,9,3500,0,2005,0,98053
284,20150410,330000,3.0,3.0,2420,13959,1.0,0,0,4,8,1740,680,1988,0,98028
285,20140905,370000,4.0,2.5,2720,8666,2.0,0,0,3,9,2720,0,1992,0,98030
286,20141017,467000,5.0,2.25,2500,13500,1.0,0,0,3,7,1850,650,1979,0,98072
287,20150209,405000,3.0,1.75,1670,6720,1.0,0,0,3,7,1140,530,1980,0,98034
